Time,Location,tavg,wspd
2019-06-09,Delhi,36.1,4.7
2019-06-10,Delhi,37.3,4.8
2019-06-11,Delhi,37.5,8.7
2019-06-12,Delhi,35.4,9.7
2019-06-13,Delhi,35.5,8.1
2019-06-14,Delhi,36.5,11.1
2019-06-15,Delhi,36.4,11.2
2019-06-16,Delhi,31.5,16.7
2019-06-17,Delhi,30.3,14.7
2019-06-18,Delhi,28.5,11.1
2019-06-19,Delhi,32.2,5.6
2019-06-20,Delhi,32.4,5.5
2019-06-21,Delhi,33.8,4.6
2019-06-22,Delhi,35.6,4.9
2019-06-23,Delhi,34.7,9.7
2019-06-24,Delhi,31.7,9.7
2019-06-25,Delhi,32.9,4.7
2019-06-26,Delhi,35.0,5.7
2019-06-27,Delhi,34.6,7.0
2019-06-28,Delhi,34.9,8.2
2019-06-29,Delhi,36.9,8.4
2019-06-30,Delhi,36.7,9.8
2019-07-01,Delhi,35.8,6.9
2019-07-02,Delhi,35.1,6.2
2019-07-03,Delhi,34.6,8.1
2019-07-04,Delhi,30.9,7.4
2019-07-05,Delhi,28.8,5.4
2019-07-06,Delhi,33.4,5.7
2019-07-07,Delhi,32.1,4.9
2019-07-08,Delhi,33.7,5.7
2019-07-09,Delhi,31.2,7.9
2019-07-10,Delhi,32.9,8.6
2019-07-11,Delhi,34.5,12.0
2019-07-12,Delhi,34.2,9.7
2019-07-13,Delhi,34.7,13.0
2019-07-14,Delhi,33.6,11.1
2019-07-15,Delhi,29.3,8.4
2019-07-16,Delhi,28.5,8.4
2019-07-17,Delhi,27.0,5.4
2019-07-18,Delhi,27.0,4.2
2019-07-19,Delhi,31.9,3.8
2019-07-20,Delhi,30.7,5.1
2019-07-21,Delhi,30.6,5.4
2019-07-22,Delhi,31.3,4.4
2019-07-23,Delhi,34.2,4.4
2019-07-24,Delhi,33.3,6.6
2019-07-25,Delhi,28.7,7.0
2019-07-26,Delhi,28.6,6.1
2019-07-27,Delhi,28.7,8.0
2019-07-28,Delhi,30.1,9.7
2019-07-29,Delhi,31.9,9.0
2019-07-30,Delhi,31.5,7.1
2019-07-31,Delhi,31.9,6.4
2019-08-01,Delhi,32.0,6.8
2019-08-02,Delhi,30.4,5.5
2019-08-03,Delhi,29.5,5.4
2019-08-04,Delhi,30.4,3.6
2019-08-05,Delhi,31.1,3.3
2019-08-06,Delhi,27.2,4.4
2019-08-07,Delhi,30.9,5.8
2019-08-08,Delhi,33.5,6.5
2019-08-09,Delhi,31.2,13.4
2019-08-10,Delhi,30.7,12.8
2019-08-11,Delhi,32.9,6.8
2019-08-12,Delhi,31.1,5.5
2019-08-13,Delhi,30.4,7.0
2019-08-14,Delhi,30.5,3.2
2019-08-15,Delhi,30.6,8.0
2019-08-16,Delhi,29.9,10.9
2019-08-17,Delhi,26.9,11.2
2019-08-18,Delhi,27.3,7.6
2019-08-19,Delhi,30.7,4.0
2019-08-20,Delhi,31.4,5.8
2019-08-21,Delhi,32.0,5.3
2019-08-22,Delhi,30.1,4.0
2019-08-23,Delhi,31.0,4.8
2019-08-24,Delhi,30.3,4.1
2019-08-25,Delhi,29.3,5.6
2019-08-26,Delhi,31.9,6.4
2019-08-27,Delhi,32.9,4.9
2019-08-28,Delhi,32.9,5.5
2019-08-29,Delhi,32.8,6.9
2019-08-30,Delhi,32.0,4.6
2019-08-31,Delhi,32.2,4.2
2019-09-01,Delhi,29.9,6.1
2019-09-02,Delhi,31.8,4.3
2019-09-03,Delhi,32.0,4.2
2019-09-04,Delhi,31.5,3.7
2019-09-05,Delhi,31.2,5.4
2019-09-06,Delhi,31.4,5.1
2019-09-07,Delhi,30.7,5.5
2019-09-08,Delhi,31.0,4.2
2019-09-09,Delhi,32.2,3.2
2019-09-10,Delhi,32.4,2.6
2019-09-11,Delhi,33.0,3.3
2019-09-12,Delhi,32.6,7.5
2019-09-13,Delhi,31.9,6.3
2019-09-14,Delhi,31.3,7.5
2019-09-15,Delhi,30.7,5.7
2019-09-16,Delhi,32.3,3.9
2019-09-17,Delhi,31.4,5.1
2019-09-18,Delhi,30.6,6.7
2019-09-19,Delhi,28.8,7.7
2019-09-20,Delhi,29.8,4.7
2019-09-21,Delhi,28.8,5.2
2019-09-22,Delhi,26.9,6.0
2019-09-23,Delhi,29.1,5.0
2019-09-24,Delhi,28.6,5.3
2019-09-25,Delhi,29.0,6.6
2019-09-26,Delhi,29.0,9.1
2019-09-27,Delhi,28.1,8.1
2019-09-28,Delhi,27.9,9.2
2019-09-29,Delhi,27.7,8.8
2019-09-30,Delhi,27.4,6.4
2019-10-01,Delhi,28.7,5.4
2019-10-02,Delhi,28.1,3.4
2019-10-03,Delhi,28.1,3.6
2019-10-04,Delhi,27.2,5.6
2019-10-05,Delhi,27.3,7.1
2019-10-06,Delhi,26.7,4.5
2019-10-07,Delhi,26.7,6.1
2019-10-08,Delhi,26.5,6.3
2019-10-09,Delhi,26.6,2.5
2019-10-10,Delhi,26.7,2.2
2019-10-11,Delhi,26.5,2.6
2019-10-12,Delhi,26.8,2.3
2019-10-13,Delhi,26.6,2.6
2019-10-14,Delhi,26.5,2.0
2019-10-15,Delhi,27.1,2.2
2019-10-16,Delhi,27.3,1.9
2019-10-17,Delhi,27.1,3.1
2019-10-18,Delhi,27.3,4.5
2019-10-19,Delhi,26.5,2.6
2019-10-20,Delhi,25.2,3.7
2019-10-21,Delhi,23.9,4.9
2019-10-22,Delhi,23.7,6.8
2019-10-23,Delhi,23.9,4.0
2019-10-24,Delhi,24.0,1.4
2019-10-25,Delhi,24.0,2.3
2019-10-26,Delhi,23.7,1.4
2019-10-27,Delhi,23.8,4.6
2019-10-28,Delhi,24.0,3.6
2019-10-29,Delhi,23.2,1.6
2019-10-30,Delhi,24.1,2.5
2019-10-31,Delhi,23.7,1.9
2019-11-01,Delhi,24.0,1.6
2019-11-02,Delhi,23.7,4.3
2019-11-03,Delhi,23.4,5.5
2019-11-04,Delhi,24.1,5.7
2019-11-05,Delhi,22.8,7.0
2019-11-06,Delhi,22.7,3.1
2019-11-07,Delhi,21.4,4.1
2019-11-08,Delhi,21.6,2.1
2019-11-09,Delhi,21.6,4.8
2019-11-10,Delhi,20.8,3.5
2019-11-11,Delhi,19.9,2.4
2019-11-12,Delhi,19.6,1.8
2019-11-13,Delhi,20.2,0.8
2019-11-14,Delhi,20.7,1.2
2019-11-15,Delhi,21.1,2.3
2019-11-16,Delhi,21.5,5.4
2019-11-17,Delhi,21.5,8.9
2019-11-18,Delhi,20.0,7.5
2019-11-19,Delhi,18.9,3.3
2019-11-20,Delhi,18.9,0.6
2019-11-21,Delhi,19.3,0.6
2019-11-22,Delhi,19.8,1.4
2019-11-23,Delhi,20.1,4.5
2019-11-24,Delhi,20.3,4.6
2019-11-25,Delhi,20.2,1.7
2019-11-26,Delhi,21.6,2.6
2019-11-27,Delhi,20.1,3.8
2019-11-28,Delhi,18.3,6.6
2019-11-29,Delhi,18.1,3.1
2019-11-30,Delhi,17.0,4.4
2019-12-01,Delhi,15.6,3.8
2019-12-02,Delhi,15.2,4.4
2019-12-03,Delhi,15.4,5.0
2019-12-04,Delhi,14.7,1.3
2019-12-05,Delhi,14.4,0.8
2019-12-06,Delhi,15.1,1.3
2019-12-07,Delhi,15.9,2.1
2019-12-08,Delhi,15.5,1.2
2019-12-09,Delhi,14.8,1.3
2019-12-10,Delhi,14.7,2.1
2019-12-11,Delhi,14.9,1.2
2019-12-12,Delhi,16.0,6.2
2019-12-13,Delhi,15.2,7.1
2019-12-14,Delhi,14.7,2.6
2019-12-15,Delhi,14.2,4.7
2019-12-16,Delhi,12.3,6.7
2019-12-17,Delhi,11.4,6.8
2019-12-18,Delhi,11.4,4.9
2019-12-19,Delhi,10.8,1.9
2019-12-20,Delhi,12.0,2.7
2019-12-21,Delhi,12.9,3.7
2019-12-22,Delhi,11.8,5.8
2019-12-23,Delhi,10.9,7.6
2019-12-24,Delhi,10.2,2.0
2019-12-25,Delhi,9.4,5.6
2019-12-26,Delhi,8.8,5.6
2019-12-27,Delhi,8.5,3.1
2019-12-28,Delhi,7.6,1.7
2019-12-29,Delhi,8.0,1.8
2019-12-30,Delhi,7.3,3.0
2019-12-31,Delhi,7.8,3.6
2020-01-01,Delhi,9.8,2.3
2020-01-02,Delhi,12.8,2.6
2020-01-03,Delhi,14.0,1.9
2020-01-04,Delhi,13.6,3.1
2020-01-05,Delhi,13.7,4.4
2020-01-06,Delhi,14.4,3.2
2020-01-07,Delhi,15.0,5.3
2020-01-08,Delhi,13.2,5.6
2020-01-09,Delhi,10.4,7.6
2020-01-10,Delhi,10.7,7.8
2020-01-11,Delhi,11.1,5.1
2020-01-12,Delhi,13.1,3.5
2020-01-13,Delhi,14.1,6.9
2020-01-14,Delhi,13.8,4.8
2020-01-15,Delhi,12.9,3.9
2020-01-16,Delhi,13.2,4.4
2020-01-17,Delhi,13.2,4.8
2020-01-18,Delhi,12.3,2.9
2020-01-19,Delhi,11.6,7.5
2020-01-20,Delhi,11.6,6.3
2020-01-21,Delhi,13.1,2.6
2020-01-22,Delhi,12.8,6.3
2020-01-23,Delhi,13.4,12.6
2020-01-24,Delhi,13.6,12.1
2020-01-25,Delhi,12.8,3.3
2020-01-26,Delhi,13.8,3.4
2020-01-27,Delhi,14.7,3.5
2020-01-28,Delhi,16.0,7.6
2020-01-29,Delhi,14.5,4.8
2020-01-30,Delhi,13.6,6.9
2020-01-31,Delhi,12.6,5.9
2020-02-01,Delhi,12.5,3.2
2020-02-02,Delhi,12.2,6.0
2020-02-03,Delhi,12.6,4.1
2020-02-04,Delhi,13.3,2.1
2020-02-05,Delhi,13.6,6.0
2020-02-06,Delhi,12.9,5.5
2020-02-07,Delhi,12.8,3.5
2020-02-08,Delhi,13.2,5.0
2020-02-09,Delhi,13.7,3.4
2020-02-10,Delhi,13.8,4.4
2020-02-11,Delhi,14.0,2.5
2020-02-12,Delhi,16.3,7.4
2020-02-13,Delhi,19.6,12.8
2020-02-14,Delhi,19.4,14.8
2020-02-15,Delhi,18.1,12.9
2020-02-16,Delhi,17.4,5.3
2020-02-17,Delhi,17.6,6.9
2020-02-18,Delhi,17.8,7.8
2020-02-19,Delhi,17.9,6.7
2020-02-20,Delhi,20.4,11.1
2020-02-21,Delhi,16.8,11.3
2020-02-22,Delhi,18.6,3.6
2020-02-23,Delhi,19.2,2.7
2020-02-24,Delhi,19.5,3.3
2020-02-25,Delhi,19.4,3.8
2020-02-26,Delhi,19.8,3.5
2020-02-27,Delhi,20.3,3.6
2020-02-28,Delhi,21.1,8.7
2020-02-29,Delhi,20.2,10.8
2020-03-01,Delhi,20.7,4.8
2020-03-02,Delhi,21.6,2.3
2020-03-03,Delhi,21.3,3.9
2020-03-04,Delhi,20.8,5.5
2020-03-05,Delhi,19.9,10.3
2020-03-06,Delhi,16.3,12.0
2020-03-07,Delhi,17.3,6.1
2020-03-08,Delhi,18.0,4.9
2020-03-09,Delhi,18.3,9.9
2020-03-10,Delhi,18.9,4.9
2020-03-11,Delhi,21.6,10.9
2020-03-12,Delhi,21.7,9.1
2020-03-13,Delhi,21.3,5.5
2020-03-14,Delhi,18.5,6.0
2020-03-15,Delhi,18.8,4.5
2020-03-16,Delhi,19.9,5.8
2020-03-17,Delhi,20.6,6.3
2020-03-18,Delhi,22.0,6.2
2020-03-19,Delhi,23.1,4.2
2020-03-20,Delhi,23.8,3.8
2020-03-21,Delhi,24.0,4.0
2020-03-22,Delhi,23.9,3.8
2020-03-23,Delhi,24.4,3.6
2020-03-24,Delhi,24.3,4.5
2020-03-25,Delhi,24.9,4.7
2020-03-26,Delhi,24.7,10.1
2020-03-27,Delhi,21.7,8.0
2020-03-28,Delhi,21.8,6.2
2020-03-29,Delhi,24.1,10.6
2020-03-30,Delhi,23.6,9.4
2020-03-31,Delhi,24.3,6.3
2020-04-01,Delhi,25.4,6.1
2020-04-02,Delhi,25.1,10.8
2020-04-03,Delhi,24.0,8.8
2020-04-04,Delhi,24.3,6.5
2020-04-05,Delhi,25.6,4.7
2020-04-06,Delhi,27.6,5.6
2020-04-07,Delhi,27.3,7.7
2020-04-08,Delhi,26.6,8.0
2020-04-09,Delhi,25.5,5.7
2020-04-10,Delhi,26.9,4.9
2020-04-11,Delhi,28.7,4.2
2020-04-12,Delhi,29.1,7.4
2020-04-13,Delhi,30.3,6.7
2020-04-14,Delhi,31.1,4.2
2020-04-15,Delhi,31.1,6.7
2020-04-16,Delhi,30.6,5.4
2020-04-17,Delhi,30.2,8.3
2020-04-18,Delhi,29.3,7.6
2020-04-19,Delhi,27.3,6.2
2020-04-20,Delhi,26.4,5.7
2020-04-21,Delhi,27.0,5.2
2020-04-22,Delhi,27.9,5.2
2020-04-23,Delhi,28.3,5.0
2020-04-24,Delhi,29.1,5.6
2020-04-25,Delhi,29.6,6.4
2020-04-26,Delhi,24.4,9.3
2020-04-27,Delhi,27.1,12.1
2020-04-28,Delhi,28.9,7.0
2020-04-29,Delhi,29.5,5.3
2020-04-30,Delhi,30.3,8.0
2020-05-01,Delhi,31.3,7.5
2020-05-02,Delhi,31.0,10.4
2020-05-03,Delhi,27.2,9.1
2020-05-04,Delhi,28.4,6.5
2020-05-05,Delhi,30.7,5.7
2020-05-06,Delhi,29.5,7.0
2020-05-07,Delhi,29.5,6.5
2020-05-08,Delhi,31.3,5.2
2020-05-09,Delhi,32.6,6.4
2020-05-10,Delhi,30.4,10.4
2020-05-11,Delhi,29.3,8.4
2020-05-12,Delhi,30.4,7.1
2020-05-13,Delhi,30.4,6.8
2020-05-14,Delhi,30.8,5.3
2020-05-15,Delhi,31.4,8.9
2020-05-16,Delhi,31.9,7.6
2020-05-17,Delhi,32.3,5.6
2020-05-18,Delhi,32.5,5.8
2020-05-19,Delhi,32.2,3.9
2020-05-20,Delhi,31.9,6.9
2020-05-21,Delhi,33.4,9.5
2020-05-22,Delhi,34.2,5.2
2020-05-23,Delhi,35.5,6.6
2020-05-24,Delhi,36.7,8.1
2020-05-25,Delhi,36.0,9.7
2020-05-26,Delhi,36.7,10.7
2020-05-27,Delhi,37.2,8.8
2020-05-28,Delhi,34.1,14.1
2020-05-29,Delhi,28.4,14.8
2020-05-30,Delhi,29.2,8.8
2020-05-31,Delhi,25.8,7.7
2020-06-01,Delhi,29.4,4.4
2020-06-02,Delhi,30.9,6.5
2020-06-03,Delhi,30.8,4.9
2020-06-04,Delhi,29.5,5.4
2020-06-05,Delhi,29.1,5.8
2020-06-06,Delhi,30.9,6.1
2020-06-07,Delhi,29.3,5.3
2020-06-08,Delhi,31.8,6.0
2020-06-09,Delhi,34.3,4.9
2020-06-10,Delhi,34.1,5.2
2020-06-11,Delhi,34.1,4.7
2020-06-12,Delhi,35.1,5.2
2020-06-13,Delhi,33.9,6.5
2020-06-14,Delhi,35.0,6.5
2020-06-15,Delhi,35.2,8.2
2020-06-16,Delhi,35.5,8.4
2020-06-17,Delhi,35.5,9.1
2020-06-18,Delhi,36.0,8.4
2020-06-19,Delhi,35.7,9.4
2020-06-20,Delhi,31.1,10.0
2020-06-21,Delhi,31.9,5.8
2020-06-22,Delhi,32.0,6.7
2020-06-23,Delhi,33.4,8.9
2020-06-24,Delhi,31.0,9.0
2020-06-25,Delhi,31.4,4.9
2020-06-26,Delhi,32.2,6.7
2020-06-27,Delhi,34.8,11.8
2020-06-28,Delhi,35.6,10.5
2020-06-29,Delhi,35.2,9.0
2020-06-30,Delhi,32.5,8.2
2020-07-01,Delhi,33.6,5.2
2020-07-02,Delhi,35.3,6.0
2020-07-03,Delhi,35.1,7.7
2020-07-04,Delhi,34.9,10.5
2020-07-05,Delhi,28.4,8.2
2020-07-06,Delhi,31.7,8.1
2020-07-07,Delhi,30.9,11.6
2020-07-08,Delhi,31.6,8.9
2020-07-09,Delhi,32.2,6.2
2020-07-10,Delhi,33.6,9.3
2020-07-11,Delhi,31.8,7.9
2020-07-12,Delhi,30.6,7.2
2020-07-13,Delhi,32.3,7.3
2020-07-14,Delhi,33.6,6.6
2020-07-15,Delhi,33.0,7.8
2020-07-16,Delhi,32.2,7.2
2020-07-17,Delhi,31.9,7.2
2020-07-18,Delhi,32.3,5.2
2020-07-19,Delhi,29.6,7.1
2020-07-20,Delhi,28.8,7.4
2020-07-21,Delhi,26.3,5.6
2020-07-22,Delhi,26.2,6.9
2020-07-23,Delhi,30.0,6.6
2020-07-24,Delhi,31.2,6.8
2020-07-25,Delhi,31.7,5.5
2020-07-26,Delhi,32.7,5.0
2020-07-27,Delhi,34.1,8.2
2020-07-28,Delhi,34.4,8.3
2020-07-29,Delhi,30.6,5.6
2020-07-30,Delhi,29.3,6.7
2020-07-31,Delhi,31.5,5.4
2020-08-01,Delhi,30.7,5.1
2020-08-02,Delhi,32.9,6.9
2020-08-03,Delhi,33.5,9.4
2020-08-04,Delhi,33.0,5.1
2020-08-05,Delhi,32.0,5.2
2020-08-06,Delhi,32.5,13.7
